time_s,raw_uV,preproc_uV
5430.0,6740196.078431382,6983564.27452809
5430.01,12867647.058823535,10928360.699888969
5430.02,15318627.450980416,15280062.98675784
5430.03,15318627.450980416,13958355.318874765
5430.04,16544117.64705884,15731758.486206645
5430.05,21446078.431372568,20809043.928724054
5430.06,15318627.450980416,13976483.893223217
5430.07,6740196.078431382,6287932.287400107
5430.08,11642156.86274511,10451939.993364729
5430.09,12867647.058823535,11988632.061458888
5430.1,11642156.86274511,10966709.104362853
5430.11,14093137.25490196,12717773.223464625
5430.12,10416666.666666687,10074919.977539169
5430.13,11642156.86274511,10069377.409833178
5430.14,11642156.86274511,11369744.759073177
5430.15,5514705.882352957,3886392.422318716
5430.16,-3063725.490196077,-3293219.178733134
5430.17,-1838235.2941176237,-3465668.7886042194
5430.18,-612745.0980391984,-1005705.8708789743
5430.19,-3063725.490196077,-4319772.175690175
5430.2,-11642156.862745082,-12636065.086211985
5430.21,-12867647.058823507,-13407955.344685117
5430.22,-7965686.274509807,-9595733.43095255
5430.23,-3063725.490196077,-3286971.929827077
5430.24,6740196.078431382,5193826.655770936
5430.25,1838235.294117652,1116727.7213669266
5430.26,-3063725.490196077,-3884386.446482548
5430.27,5514705.882352957,4029628.092274509
5430.28,6740196.078431382,6492313.303043358
5430.29,1838235.294117652,40089.55014353777
5430.3,-4289215.686274502,-4482324.379722624
5430.31,-3063725.490196077,-4724712.798623351
5430.32,-3063725.490196077,-3519268.889565267
5430.33,-6740196.078431353,-8056540.818924421
5430.34,-11642156.862745082,-12529421.507549947
5430.35,-10416666.666666657,-11254322.649631074
5430.36,-9191176.470588231,-10617199.072911622
5430.37,-6740196.078431353,-7096456.318375069
5430.38,-3063725.490196077,-4883697.8472962845
5430.39,-10416666.666666657,-10528890.167470021
5430.4,-7965686.274509807,-9931417.221739853
5430.41,-6740196.078431353,-6799015.868302173
5430.42,-6740196.078431353,-8723063.20615085
5430.43,-3063725.490196077,-3185603.8418328743
5430.44,612745.0980392268,-1167937.0703561257
5430.45,-6740196.078431353,-7291164.374361195
5430.46,-3063725.490196077,-4227569.562199595
5430.47,612745.0980392268,-617315.7293519678
5430.48,612745.0980392268,-42005.38035082024
5430.49,5514705.882352957,4136534.0545962094
5430.5,9191176.470588261,8197963.517088958
5430.51,15318627.450980416,14636104.507115463
5430.52,14093137.25490196,12273690.342795372
5430.53,-612745.0980391984,-688655.7383585604
5430.54,-5514705.882352928,-7468910.88078994
5430.55,-11642156.862745082,-12073271.02499783
5430.56,-11642156.862745082,-12897366.684397323
5430.57,-7965686.274509807,-9137207.593165724
5430.58,-11642156.862745082,-12430692.045333926
5430.59,-15318627.450980386,-16535586.21052717
5430.6,-16544117.647058811,-17703479.732471526
5430.61,-16544117.647058811,-17136367.893774994
5430.62,-12867647.058823507,-14704713.634829972
5430.63,-16544117.647058811,-16574957.12514168
5430.64,-12867647.058823507,-15088648.64814666
5430.65,-9191176.470588231,-9002021.718453322
5430.66,-6740196.078431353,-9084002.015198179
5430.67,-6740196.078431353,-6527015.4418560285
5430.68,3063725.490196077,831996.2377712962
5430.69,612745.0980392268,516083.2960045705
5430.7,-1838235.2941176237,-3541493.0196987335
5430.71,-1838235.2941176237,-2628108.7181158257
5430.72,3063725.490196077,2102410.0124316667
5430.73,7965686.274509807,6518639.406429014
5430.74,9191176.470588261,8636230.034815863
5430.75,9191176.470588261,7615121.529516827
5430.76,4289215.686274531,3599216.785882522
5430.77,4289215.686274531,3031386.3097739774
5430.78,6740196.078431382,5627676.825672829
5430.79,5514705.882352957,4714974.849896029
5430.8,6740196.078431382,5180407.663170254
5430.81,6740196.078431382,6338378.038654351
5430.82,6740196.078431382,4913229.88658148
5430.83,7965686.274509807,7647812.455642793
5430.84,6740196.078431382,5079477.090228929
5430.85,-1838235.2941176237,-2556804.1401207955
5430.86,5514705.882352957,4466966.400068435
5430.87,10416666.666666687,9011623.184126401
5430.88,-1838235.2941176237,-2230752.020426814
5430.89,-3063725.490196077,-4984413.592741428
5430.9,-3063725.490196077,-3060352.815379752
5430.91,-6740196.078431353,-8932120.68245519
5430.92,-9191176.470588231,-8947221.57050308
5430.93,-3063725.490196077,-5469050.534733721
5430.94,-10416666.666666657,-9954627.170358649
5430.95,-15318627.450980386,-17909792.665288582
5430.96,-21446078.431372542,-20818292.910849694
5430.97,-14093137.25490196,-16793398.44140237
5430.98,-15318627.450980386,-14567361.150818914
5430.99,-10416666.666666657,-13242163.878477015
5431.0,-5514705.882352928,-4643901.374811057
5431.01,3063725.490196077,219501.67389998308
5431.02,-3063725.490196077,-2388172.0138496137
5431.03,612745.0980392268,-1709702.7437064098
5431.04,3063725.490196077,2930727.3979112194
5431.05,7965686.274509807,6613984.142771575
5431.06,1838235.294117652,834452.6818245952
5431.07,-5514705.882352928,-6305867.176829191
5431.08,1838235.294117652,770878.3514110981
5431.09,9191176.470588261,7993524.059059069
5431.1,7965686.274509807,7605402.803699301
5431.11,11642156.86274511,9687814.553257193
5431.12,10416666.666666687,10689994.5590523
5431.13,7965686.274509807,5632581.834844667
5431.14,612745.0980392268,1110172.513680023
5431.15,10416666.666666687,7922631.004650388
5431.16,16544117.64705884,17257991.516743124
5431.17,18995098.03921569,16257157.39070829
5431.18,16544117.64705884,17439807.553570293
5431.19,21446078.431372568,18808799.6521444
5431.2,12867647.058823535,13287844.839214448
5431.21,15318627.450980416,13615954.86227883
5431.22,15318627.450980416,14527978.008587165
5431.23,14093137.25490196,13679493.043284243
5431.24,17769607.843137264,15916053.93850197
5431.25,9191176.470588261,9480558.92575496
5431.26,3063725.490196077,944137.0863496336
5431.27,-1838235.2941176237,-1557655.1641004742
5431.28,-6740196.078431353,-8693459.447016915
5431.29,-14093137.25490196,-13863471.82434172
5431.3,-5514705.882352928,-7573321.192066076
5431.31,-3063725.490196077,-2550218.852023306
5431.32,-5514705.882352928,-7890484.9215318505
5431.33,-14093137.25490196,-13372868.347252956
5431.34,-9191176.470588231,-11459049.949280506
5431.35,-6740196.078431353,-6463659.345591559
5431.36,-3063725.490196077,-4511109.447880686
5431.37,-4289215.686274502,-5056306.435929708
5431.38,-1838235.2941176237,-2157836.6447133287
5431.39,612745.0980392268,-1163821.0822509287
5431.4,-4289215.686274502,-3835135.9230759037
5431.41,3063725.490196077,864336.517800135
5431.42,4289215.686274531,4821166.998985006
5431.43,612745.0980392268,-1349774.3383728275
5431.44,-4289215.686274502,-4128965.798322913
5431.45,1838235.294117652,282128.2676116894
5431.46,3063725.490196077,2977265.5031892937
5431.47,5514705.882352957,3964140.4775753138
5431.48,612745.0980392268,818278.793619522
5431.49,-3063725.490196077,-5081239.38794897
5431.5,-5514705.882352928,-4782195.400888806
5431.51,-4289215.686274502,-6595782.579785407
5431.52,-10416666.666666657,-9744578.427991286
5431.53,612745.0980392268,-1094215.4877777072
5431.54,6740196.078431382,6330439.360225593
5431.55,3063725.490196077,2754808.0250748964
5431.56,612745.0980392268,-1163315.100712574
5431.57,-1838235.2941176237,-1068649.91983152
5431.58,-612745.0980391984,-2848404.7442984544
5431.59,-10416666.666666657,-9844254.736686537
5431.6,-14093137.25490196,-15492213.105811583
5431.61,-15318627.450980386,-15914628.899187334
5431.62,-11642156.862745082,-11772244.503605006
5431.63,-4289215.686274502,-5935010.004141681
5431.64,-4289215.686274502,-3724472.8992133094
5431.65,612745.0980392268,-1311236.0884673696
5431.66,1838235.294117652,2368296.47511653
5431.67,1838235.294117652,206408.03309939892
5431.68,-6740196.078431353,-6616438.781115105
5431.69,-3063725.490196077,-4167136.765300044
5431.7,15318627.450980416,14841379.97094843
5431.71,25122549.019607846,24674321.28659091
