time_s,raw_uV,preproc_uV
5430.0,-5514705.882352928,-3626752.5867234655
5430.01,-6740196.078431353,-5809484.037267214
5430.02,-11642156.862745082,-7817055.3713042075
5430.03,-7965686.274509807,-9276228.40953164
5430.04,-9191176.470588231,-9915787.9840271
5430.05,-7965686.274509807,-9672148.157716727
5430.06,-7965686.274509807,-8708415.884703932
5430.07,-7965686.274509807,-7349714.240349391
5430.08,-4289215.686274502,-5968607.908704411
5430.09,-5514705.882352928,-4865121.061690805
5430.1,-5514705.882352928,-4196975.666327529
5430.11,-5514705.882352928,-3973307.8524615522
5430.12,-1838235.2941176237,-4112953.276739425
5430.13,-5514705.882352928,-4526202.938598247
5430.14,-7965686.274509807,-5166577.450140535
5430.15,-612745.0980391984,-6034232.961804183
5430.16,-1838235.2941176237,-7138105.199587192
5430.17,-16544117.647058811,-8440408.3085116
5430.18,-10416666.666666657,-9812307.84898144
5430.19,-11642156.862745082,-11042719.233944615
5430.2,-9191176.470588231,-11897768.676952042
5430.21,-10416666.666666657,-12208242.744863253
5430.22,-11642156.862745082,-11940484.091099001
5430.23,-16544117.647058811,-11223940.653188014
5430.24,-4289215.686274502,-10317921.725513592
5430.25,-11642156.862745082,-9527869.556587564
5430.26,-11642156.862745082,-9106426.606967798
5430.27,-9191176.470588231,-9171852.333101813
5430.28,-1838235.2941176237,-9680870.487118056
5430.29,-15318627.450980386,-10464675.551061528
5430.3,-14093137.25490196,-11304090.377904376
5430.31,-12867647.058823507,-12007114.851017598
5430.32,-7965686.274509807,-12468356.649298053
5430.33,-10416666.666666657,-12684400.6061924
5430.34,-16544117.647058811,-12723186.50964748
5430.35,-14093137.25490196,-12675962.61381219
5430.36,-11642156.862745082,-12618776.786920432
5430.37,-10416666.666666657,-12592289.343968391
5430.38,-10416666.666666657,-12604884.583274039
5430.39,-18995098.03921569,-12660563.130548043
5430.4,-10416666.666666657,-12784087.743130866
5430.41,-11642156.862745082,-13025178.05297708
5430.42,-14093137.25490196,-13433056.477745082
5430.43,-15318627.450980386,-14019419.428188948
5430.44,-10416666.666666657,-14717262.021264957
5430.45,-15318627.450980386,-15364776.647056868
5430.46,-22671568.627450965,-15734473.698278552
5430.47,-14093137.25490196,-15603010.11514613
5430.48,-11642156.862745082,-14836504.630398653
5430.49,-11642156.862745082,-13464147.87238695
5430.5,-12867647.058823507,-11702195.35104284
5430.51,-10416666.666666657,-9920855.817876032
5430.52,-11642156.862745082,-8549354.405217486
5430.53,-6740196.078431353,-7946303.267245624
5430.54,-5514705.882352928,-8274461.403171412
5430.55,-11642156.862745082,-9425228.74933635
5430.56,-11642156.862745082,-11025401.782049542
5430.57,-7965686.274509807,-12522407.495688878
5430.58,-15318627.450980386,-13327384.541757511
5430.59,-15318627.450980386,-12973944.621305794
5430.6,-14093137.25490196,-11243828.434355313
