time_s,raw_uV,preproc_uV
5430.0,11642156.86274511,11860731.965484856
5430.01,7965686.274509807,6790178.48591279
5430.02,5514705.882352957,5903680.900400332
5430.03,11642156.86274511,10525274.447094375
5430.04,9191176.470588261,9259369.701198526
5430.05,7965686.274509807,7328695.119843928
5430.06,4289215.686274531,3905658.900700114
5430.07,3063725.490196077,2631633.1904740436
5430.08,3063725.490196077,2867951.1334891366
5430.09,-1838235.2941176237,-2850716.84053516
5430.1,-3063725.490196077,-2460797.6798444553
5430.11,612745.0980392268,-1146741.1832372257
5430.12,-4289215.686274502,-3266231.3964532376
5430.13,5514705.882352957,3769091.318605303
5430.14,612745.0980392268,1206049.6663806604
5430.15,-5514705.882352928,-6602996.999398214
5430.16,1838235.294117652,1751438.7134598813
5430.17,3063725.490196077,2532052.7734510284
5430.18,-3063725.490196077,-3604975.7880563964
5430.19,612745.0980392268,500557.1787664034
5430.2,612745.0980392268,-409956.76303403085
5430.21,-4289215.686274502,-3839973.420832539
5430.22,612745.0980392268,-984229.700827223
5430.23,612745.0980392268,1462133.39630672
5430.24,6740196.078431382,5070905.356144073
5430.25,6740196.078431382,7219224.159524831
5430.26,5514705.882352957,4597815.974848702
5430.27,5514705.882352957,5003208.114159734
5430.28,7965686.274509807,8036479.916117113
5430.29,6740196.078431382,5446236.315474813
5430.3,-612745.0980391984,-134578.30711805975
5430.31,612745.0980392268,-656285.4087146146
5430.32,1838235.294117652,1908888.9017609993
5430.33,1838235.294117652,1224324.840499138
5430.34,612745.0980392268,-52371.56373724283
5430.35,4289215.686274531,4271075.932630999
5430.36,7965686.274509807,6934033.164111304
5430.37,4289215.686274531,4338949.726079939
5430.38,7965686.274509807,7081128.843158261
5430.39,7965686.274509807,7751619.574008458
5430.4,1838235.294117652,1198747.9781158208
5430.41,612745.0980392268,201146.5099577796
5430.42,612745.0980392268,173603.3328018207
5430.43,612745.0980392268,-146445.38007161455
5430.44,4289215.686274531,4437963.150781451
5430.45,7965686.274509807,6360103.971904091
5430.46,6740196.078431382,7800510.594965031
5430.47,12867647.058823535,10537267.554540744
5430.48,11642156.86274511,12919364.364319723
5430.49,16544117.64705884,14637887.108619334
5430.5,14093137.25490196,14341963.223433089
5430.51,20220588.235294145,19626503.074676618
5430.52,20220588.235294145,19246615.8813112
5430.53,6740196.078431382,6881939.952883421
5430.54,4289215.686274531,3267909.698995001
5430.55,4289215.686274531,3856380.812734133
5430.56,1838235.294117652,1769522.7507253056
5430.57,5514705.882352957,4087646.3796695345
5430.58,3063725.490196077,3704863.570063693
5430.59,3063725.490196077,1375119.082963227
5430.6,-612745.0980391984,-200583.69523382426
5430.61,-4289215.686274502,-5355163.940907015
5430.62,-7965686.274509807,-8440242.110273007
5430.63,-7965686.274509807,-8038215.634482587
5430.64,-6740196.078431353,-8184468.942363855
5430.65,-10416666.666666657,-9669658.953186644
5430.66,-11642156.862745082,-13643430.933181975
5430.67,-14093137.25490196,-13150481.015076319
