time_s,raw_uV,preproc_uV
5430.0,-6740196.078431353,-4233916.607616828
5430.01,612745.0980392268,-4449327.069855411
5430.02,-4289215.686274502,-4459189.192499464
5430.03,-16544117.647058811,-4279676.439800961
5430.04,16544117.64705884,-3921550.3656503055
5430.05,-11642156.862745082,-3402390.256404293
5430.06,6740196.078431382,-2756519.998725802
5430.07,-6740196.078431353,-2035096.106047895
5430.08,6740196.078431382,-1301470.3779932389
5430.09,-1838235.2941176237,-631303.9829921578
5430.1,-4289215.686274502,-109519.71013619643
5430.11,-1838235.2941176237,179399.01324914233
5430.12,7965686.274509807,157216.8759846413
5430.13,4289215.686274531,-190922.1396171876
5430.14,1838235.294117652,-791901.4341978899
5430.15,-612745.0980391984,-1479244.2861250283
5430.16,-1838235.2941176237,-2021818.9473188398
5430.17,-5514705.882352928,-2189622.9351151763
5430.18,612745.0980392268,-1840786.7493616422
5430.19,3063725.490196077,-1002397.2207352434
5430.2,1838235.294117652,112278.66537672826
5430.21,612745.0980392268,1147476.142596998
5430.22,10416666.666666687,1725719.8848652914
5430.23,1838235.294117652,1588611.9556396795
5430.24,-10416666.666666657,714838.7071741265
5430.25,12867647.058823535,-641647.3813468056
5430.26,-5514705.882352928,-2020481.5821792216
5430.27,3063725.490196077,-2913429.8008595314
5430.28,-6740196.078431353,-2958657.1498649986
5430.29,3063725.490196077,-2095059.2581994322
5430.3,-1838235.2941176237,-604818.7658463275
5430.31,5514705.882352957,976110.0962706981
5430.32,4289215.686274531,2038966.1624029148
5430.33,3063725.490196077,2149547.879846765
5430.34,612745.0980392268,1216981.294567321
5430.35,612745.0980392268,-458619.0948076245
5430.36,-5514705.882352928,-2309554.530121383
5430.37,4289215.686274531,-3717379.626437804
5430.38,1838235.294117652,-4252048.069609457
5430.39,-4289215.686274502,-3851114.694650354
5430.4,-3063725.490196077,-2841368.2117294734
5430.41,-3063725.490196077,-1793663.0792880056
5430.42,-1838235.2941176237,-1260800.1976115697
5430.43,3063725.490196077,-1516869.3170712506
5430.44,-5514705.882352928,-2409037.8967718733
5430.45,9191176.470588261,-3383465.495544802
5430.46,-10416666.666666657,-3696621.8532329444
5430.47,10416666.666666687,-2737495.4057239257
5430.48,-6740196.078431353,-321868.3149330078
5430.49,1838235.294117652,3164644.04046371
5430.5,612745.0980392268,6837926.692896584
5430.51,17769607.843137264,9608258.123079693
5430.52,20220588.235294145,10576868.601970738
5430.53,10416666.666666687,9387791.994984532
5430.54,3063725.490196077,6389136.58998594
5430.55,1838235.294117652,2541723.245618733
5430.56,4289215.686274531,-887833.2627603088
5430.57,-612745.0980391984,-2773576.663005626
5430.58,-3063725.490196077,-2503078.5386568164
5430.59,612745.0980392268,-176388.0290802946
5430.6,4289215.686274531,3452146.7748836176
5430.61,4289215.686274531,7260793.943047837
5430.62,25122549.019607846,10157861.86153875
5430.63,5514705.882352957,11436381.430982525
5430.64,18995098.03921569,10967418.080179604
5430.65,4289215.686274531,9170620.964643452
5430.66,6740196.078431382,6800438.059739104
5430.67,3063725.490196077,4639086.070572154
5430.68,9191176.470588261,3231314.057323277
5430.69,7965686.274509807,2746406.8400415094
5430.7,3063725.490196077,2996356.1563276635
5430.71,1838235.294117652,3588203.4434648943
5430.72,9191176.470588261,4110963.843281061
5430.73,6740196.078431382,4279150.159142271
5430.74,3063725.490196077,4001687.0549602243
5430.75,5514705.882352957,3342277.950146141
5430.76,1838235.294117652,2426366.7086074487
5430.77,3063725.490196077,1361904.7795456396
5430.78,-612745.0980391984,215657.8643880165
5430.79,4289215.686274531,-963789.7704222508
5430.8,3063725.490196077,-2094553.3073384883
5430.81,-612745.0980391984,-3036033.139223848
5430.82,-1838235.2941176237,-3593094.056710866
5430.83,-11642156.862745082,-3577010.834286907
5430.84,5514705.882352957,-2895766.4914833787
5430.85,-11642156.862745082,-1623110.1689006162
5430.86,14093137.25490196,-12305.257330708308
5430.87,-612745.0980391984,1555471.1626655187
5430.88,11642156.86274511,2677678.957161762
5430.89,612745.0980392268,3049227.6774889017
5430.9,3063725.490196077,2547347.6820047395
5430.91,-612745.0980391984,1245872.30962364
5430.92,-612745.0980391984,-615918.3950670597
5430.93,1838235.294117652,-2717302.6139831613
5430.94,-3063725.490196077,-4753225.395408134
5430.95,-3063725.490196077,-6487729.229258721
5430.96,-5514705.882352928,-7789616.760927133
5430.97,-5514705.882352928,-8642792.464331383
5430.98,-10416666.666666657,-9132151.090282965
5430.99,-12867647.058823507,-9436490.83745715
5431.0,-10416666.666666657,-9794939.355304414
5431.01,5514705.882352957,-10461001.489378631
5431.02,-11642156.862745082,-11632150.768503403
5431.03,-26348039.21568627,-13372791.06567959
5431.04,-4289215.686274502,-15549189.390443087
5431.05,-20220588.235294115,-17818415.953043275
5431.06,-12867647.058823507,-19708054.114575047
5431.07,-25122549.019607846,-20750187.053667333
5431.08,-12867647.058823507,-20642955.964883547
5431.09,-17769607.84313724,-19382896.447659172
5431.1,-18995098.03921569,-17305147.331612412
5431.11,-14093137.25490196,-14990214.28188686
5431.12,-12867647.058823507,-13064888.659790935
5431.13,-10416666.666666657,-11967295.303299775
5431.14,-10416666.666666657,-11772477.988813275
5431.15,-7965686.274509807,-12144026.528448546
5431.16,-5514705.882352928,-12468517.342898913
5431.17,-12867647.058823507,-12097893.796043511
5431.18,-11642156.862745082,-10620642.807640025
5431.19,-6740196.078431353,-8060595.303029242
5431.2,-9191176.470588231,-4901690.736710574
5431.21,-6740196.078431353,-1934248.4094394234
5431.22,21446078.431372568,35399.96770567366
5431.23,-6740196.078431353,480223.2414781242
5431.24,11642156.86274511,-650152.2772357551
5431.25,-9191176.470588231,-2912295.066144953
5431.26,-9191176.470588231,-5527587.853206713
5431.27,-10416666.666666657,-7667611.113897492
5431.28,-612745.0980391984,-8741381.736027734
5431.29,-7965686.274509807,-8574026.228934266
5431.3,612745.0980392268,-7431124.273578671
5431.31,-7965686.274509807,-5874661.129559365
5431.32,-612745.0980391984,-4513946.700096371
5431.33,-7965686.274509807,-3779006.4892999134
