subject,stage,component,explained_variance_Xc,explained_variance_Yc
apples-150142,N2,1,0.6657603117636259,0.527329979909457
apples-150142,N2,2,0.33423968823637396,0.47267002009054315
apples-140011,N1,1,0.5123692923683768,0.5738159841595063
apples-140011,N1,2,0.48763070763162325,0.42618401584049376
apples-240022,N1,1,0.6790128155993771,0.613503912713315
apples-240022,N1,2,0.32098718440062285,0.386496087286685
apples-150141,W,1,0.571122268327039,0.5110964503061135
apples-150141,W,2,0.4288777316729609,0.48890354969388655
apples-130001,W,1,0.7568022024855309,0.36734546374347526
apples-130001,W,2,0.24319779751446913,0.6326545362565248
apples-140008,N2,1,0.27311006921285486,0.370442829416206
apples-140008,N2,2,0.7268899307871451,0.629557170583794
apples-240021,N2,1,0.5800171181228065,0.5297343492617809
apples-240021,N2,2,0.4199828818771935,0.4702656507382192
apples-240091,W,1,0.4992854169298191,0.8164398827406554
apples-240091,W,2,0.5007145830701808,0.1835601172593446
apples-240023,N1,1,0.6862539185292207,0.5927438823396712
apples-240023,N1,2,0.31374608147077937,0.40725611766032865
apples-170366,N3,1,0.5816387150240712,0.528661287147529
apples-170366,N3,2,0.4183612849759287,0.47133871285247086
apples-150140,N3,1,0.5123428420224609,0.41346261287306807
apples-150140,N3,2,0.4876571579775391,0.5865373871269319
apples-150140,R,1,0.2619276408577695,0.5209599666017444
apples-150140,R,2,0.7380723591422305,0.47904003339825574
apples-140008,N1,1,0.48724332929391956,0.5585652634444289
apples-140008,N1,2,0.5127566707060803,0.44143473655557103
apples-160290,N2,1,0.6176548643866646,0.5359717174787438
apples-160290,N2,2,0.3823451356133354,0.4640282825212562
apples-240023,R,1,0.5587586853849572,0.8918389448437065
apples-240023,R,2,0.4412413146150429,0.10816105515629362
apples-240091,N2,1,0.5158389586209478,0.7396176519534182
apples-240091,N2,2,0.48416104137905225,0.26038234804658167
apples-240022,R,1,0.7053135135284219,0.8177016584626761
apples-240022,R,2,0.2946864864715782,0.18229834153732388
apples-140073,N3,1,0.4733746407196828,0.41630492340667974
apples-140073,N3,2,0.5266253592803172,0.5836950765933202
apples-150140,N2,1,0.41258312105370964,0.577025007961617
apples-150140,N2,2,0.5874168789462905,0.42297499203838296
apples-240022,N2,1,0.6119294477715117,0.5496929243680536
apples-240022,N2,2,0.38807055222848835,0.4503070756319465
apples-240089,R,1,0.6153248790565933,0.7082003604632399
apples-240089,R,2,0.38467512094340667,0.29179963953676014
apples-160290,N1,1,0.6167667911656485,0.5284525551999124
apples-160290,N1,2,0.38323320883435147,0.4715474448000876
apples-240089,W,1,0.5635000799087497,0.6557821603650837
apples-240089,W,2,0.4364999200912502,0.34421783963491626
apples-240090,N1,1,0.521508926216644,0.485121100423292
apples-240090,N1,2,0.47849107378335604,0.514878899576708
apples-140073,N1,1,0.4078080348450391,0.4412780778126198
apples-140073,N1,2,0.592191965154961,0.5587219221873801
apples-140011,R,1,0.272701065502088,0.7506826082769257
apples-140011,R,2,0.7272989344979119,0.24931739172307435
apples-150142,R,1,0.5456046404795116,0.6203468772130742
apples-150142,R,2,0.45439535952048826,0.3796531227869257
apples-140075,W,1,0.5801257767792706,0.8664393564758667
apples-140075,W,2,0.4198742232207294,0.1335606435241332
apples-170368,W,1,0.5989851034119547,0.6148823527896236
apples-170368,W,2,0.4010148965880453,0.38511764721037633
apples-140004,N1,1,0.5217146270861902,0.811028521327866
apples-140004,N1,2,0.4782853729138097,0.18897147867213396
apples-170368,R,1,0.37427723740275115,0.7750921955070661
apples-170368,R,2,0.6257227625972488,0.22490780449293388
apples-240023,W,1,0.5352175727792923,0.5095731090764215
apples-240023,W,2,0.4647824272207076,0.4904268909235785
apples-160287,N1,1,0.43651763419932627,0.7323094856515775
apples-160287,N1,2,0.5634823658006738,0.26769051434842256
apples-170366,N1,1,0.6467132578840352,0.5859889861088647
apples-170366,N1,2,0.3532867421159649,0.41401101389113537
apples-240089,N2,1,0.5873232609957526,0.5028022763836656
apples-240089,N2,2,0.41267673900424734,0.49719772361633446
apples-160287,N3,1,0.39006727071131153,0.43598568519153474
apples-160287,N3,2,0.6099327292886885,0.5640143148084652
apples-240021,W,1,0.5133214869452806,0.7471115962256735
apples-240021,W,2,0.48667851305471943,0.25288840377432653
apples-150140,N1,1,0.4080473385947973,0.4729388580561609
apples-150140,N1,2,0.5919526614052028,0.5270611419438391
apples-160219,W,1,0.5220033208988261,0.6698764424802137
apples-160219,W,2,0.4779966791011739,0.3301235575197862
apples-150142,N1,1,0.6448620556958959,0.5105431185766319
apples-150142,N1,2,0.3551379443041041,0.4894568814233681
apples-170369,N3,1,0.5921236883784047,0.49142465198184443
apples-170369,N3,2,0.4078763116215953,0.5085753480181555
apples-240090,N2,1,0.4818845677656098,0.5139571719239321
apples-240090,N2,2,0.5181154322343903,0.486042828076068
apples-160215,R,1,0.7291287134851273,0.37561107066168475
apples-160215,R,2,0.27087128651487263,0.6243889293383152
apples-240089,N1,1,0.5482303455645007,0.7407581926714156
apples-240089,N1,2,0.4517696544354993,0.2592418073285845
apples-140074,N3,1,0.4578916859782574,0.5276468936658182
apples-140074,N3,2,0.5421083140217426,0.47235310633418176
apples-140003,N2,1,0.4947752015192085,0.5097289715159886
apples-140003,N2,2,0.5052247984807915,0.4902710284840114
apples-130001,R,1,0.45848175398555524,0.8546771548398805
apples-130001,R,2,0.5415182460144448,0.1453228451601196
apples-240021,N1,1,0.6080360079930552,0.7267786191966853
apples-240021,N1,2,0.39196399200694476,0.27322138080331465
apples-140009,N1,1,0.5908511171680249,0.5125097335288555
apples-140009,N1,2,0.40914888283197515,0.48749026647114446
apples-160287,W,1,0.5239009693569407,0.5865088052954274
apples-160287,W,2,0.4760990306430592,0.4134911947045727
apples-140008,N3,1,0.7344093346528419,0.2801234123938081
apples-140008,N3,2,0.26559066534715814,0.7198765876061919
apples-150141,R,1,0.9127747806885035,0.42011114953652084
apples-150141,R,2,0.08722521931149653,0.5798888504634792
apples-170366,N2,1,0.5463418036411269,0.5228205835509184
apples-170366,N2,2,0.4536581963588732,0.47717941644908163
apples-150141,N3,1,0.8475256719003788,0.383661439592527
apples-150141,N3,2,0.15247432809962122,0.6163385604074728
apples-160219,N2,1,0.6021100466368848,0.4736857539191535
apples-160219,N2,2,0.3978899533631152,0.5263142460808464
apples-240021,N3,1,0.5354210713110357,0.4805583357985188
apples-240021,N3,2,0.4645789286889644,0.5194416642014812
apples-170368,N3,1,0.5243431916213871,0.44215317464393833
apples-170368,N3,2,0.4756568083786129,0.5578468253560617
apples-130001,N1,1,0.8274496753939711,0.5573747817580375
apples-130001,N1,2,0.17255032460602898,0.44262521824196255
apples-160287,R,1,0.3333028252180012,0.8884594369607051
apples-160287,R,2,0.6666971747819989,0.11154056303929503
apples-140007,R,1,0.5529243734611999,0.21707667509817213
apples-140007,R,2,0.44707562653879995,0.7829233249018279
apples-160217,R,1,0.5253457105603727,0.7494992970071115
apples-160217,R,2,0.4746542894396274,0.2505007029928885
apples-140073,W,1,0.4705066638386811,0.5077606208672937
apples-140073,W,2,0.5294933361613189,0.4922393791327063
apples-160217,N2,1,0.576136014575592,0.40676136478554437
apples-160217,N2,2,0.42386398542440795,0.5932386352144556
apples-140012,W,1,0.460514198539613,0.5401603583366131
apples-140012,W,2,0.5394858014603868,0.45983964166338676
apples-160287,N2,1,0.42043479935300265,0.5385214577766003
apples-160287,N2,2,0.5795652006469973,0.4614785422233997
apples-140074,W,1,0.4520222374075987,0.5676642936612538
apples-140074,W,2,0.5479777625924013,0.4323357063387461
apples-140008,R,1,0.7840345699990388,0.17052456179685396
apples-140008,R,2,0.2159654300009612,0.8294754382031461
apples-140012,N1,1,0.5315845747798505,0.5362289649581381
apples-140012,N1,2,0.46841542522014934,0.4637710350418619
apples-160219,R,1,0.5398973723484294,0.6793036377927413
apples-160219,R,2,0.4601026276515707,0.3206963622072586
apples-160219,N3,1,0.6383496676927335,0.4318730195027168
apples-160219,N3,2,0.36165033230726656,0.5681269804972833
apples-140012,N2,1,0.633861865627089,0.4932215439462113
apples-140012,N2,2,0.3661381343729111,0.5067784560537886
apples-140073,N2,1,0.4155435087250417,0.4157351505788394
apples-140073,N2,2,0.5844564912749584,0.5842648494211605
apples-140004,R,1,0.3863976943325095,0.8048520764977627
apples-140004,R,2,0.6136023056674904,0.19514792350223734
apples-140011,W,1,0.4332373172382285,0.5343592736615291
apples-140011,W,2,0.5667626827617716,0.46564072633847087
apples-140007,W,1,0.3960134819443885,0.4102898714641094
apples-140007,W,2,0.6039865180556115,0.5897101285358908
apples-140075,N2,1,0.5149719336008689,0.4337201943146235
apples-140075,N2,2,0.48502806639913115,0.5662798056853765
apples-140003,R,1,0.48763793489487883,0.7751244805456432
apples-140003,R,2,0.5123620651051212,0.22487551945435674
apples-240022,N3,1,0.6216377737192504,0.5078587271509442
apples-240022,N3,2,0.3783622262807495,0.49214127284905573
apples-170366,W,1,0.5163989788526202,0.5067174839655577
apples-170366,W,2,0.48360102114737974,0.49328251603444223
apples-160288,N2,1,0.6896051257040227,0.5462829298429481
apples-160288,N2,2,0.3103948742959774,0.4537170701570519
apples-160215,N2,1,0.4334720296352393,0.374513443283193
apples-160215,N2,2,0.5665279703647607,0.625486556716807
apples-140009,R,1,0.7986574751405942,0.1888488996153807
apples-140009,R,2,0.20134252485940582,0.8111511003846194
apples-170368,N2,1,0.5661770989746606,0.495533777707287
apples-170368,N2,2,0.4338229010253393,0.5044662222927131
apples-140075,R,1,0.5085948452829321,0.7876164431567345
apples-140075,R,2,0.4914051547170679,0.2123835568432655
apples-140004,W,1,0.7627414848894114,0.18498646038288916
apples-140004,W,2,0.23725851511058868,0.8150135396171109
apples-140074,R,1,0.4534631202514006,0.3031760802720652
apples-140074,R,2,0.5465368797485993,0.6968239197279348
apples-140004,N2,1,0.9114479492172971,0.7135336013117266
apples-140004,N2,2,0.08855205078270284,0.28646639868827334
apples-160219,N1,1,0.7165522308472938,0.723233012878327
apples-160219,N1,2,0.28344776915270614,0.276766987121673
apples-160290,R,1,0.5681571064054399,0.33760114871527847
apples-160290,R,2,0.43184289359455996,0.6623988512847215
apples-140074,N1,1,0.44236832294024114,0.5082625914939533
apples-140074,N1,2,0.5576316770597589,0.49173740850604686
apples-160290,W,1,0.5035713507932899,0.4889785096637411
apples-160290,W,2,0.49642864920671004,0.5110214903362589
apples-170369,W,1,0.34457957844439374,0.5141316764965554
apples-170369,W,2,0.6554204215556063,0.4858683235034446
apples-160215,N1,1,0.5215256851004847,0.4307591191143433
apples-160215,N1,2,0.47847431489951514,0.5692408808856567
apples-240021,R,1,0.490369408949167,0.6797834898538527
apples-240021,R,2,0.509630591050833,0.32021651014614716
apples-170369,R,1,0.43040973902015556,0.8119776826515994
apples-170369,R,2,0.5695902609798444,0.1880223173484005
apples-140007,N1,1,0.7358715431719326,0.5817595693302298
apples-140007,N1,2,0.26412845682806735,0.41824043066977024
apples-240090,R,1,0.5283723976474279,0.634920409384083
apples-240090,R,2,0.471627602352572,0.36507959061591705
apples-240022,W,1,0.5065703867071718,0.5245965247074461
apples-240022,W,2,0.49342961329282825,0.4754034752925539
apples-140073,R,1,0.3867439294295013,0.8467746970051552
apples-140073,R,2,0.6132560705704987,0.15322530299484477
apples-170369,N1,1,0.45468210761337635,0.7404255138168572
apples-170369,N1,2,0.5453178923866236,0.25957448618314277
apples-140012,R,1,0.5651139159721994,0.5431829545655154
apples-140012,R,2,0.4348860840278006,0.4568170454344847
apples-140003,W,1,0.42283263470318655,0.7313645405034058
apples-140003,W,2,0.5771673652968133,0.2686354594965942
apples-140011,N3,1,0.6291597887727901,0.5245789304447754
apples-140011,N3,2,0.37084021122720995,0.47542106955522473
apples-170366,R,1,0.6452829926255796,0.7908552380099848
apples-170366,R,2,0.35471700737442036,0.20914476199001514
