stage,time_bin,cca_corr1,cca_corr2
N1,"(0.0, 600.0]",,
N1,"(600.0, 1200.0]",0.6298473103743067,0.3738022333460976
N1,"(1200.0, 1800.0]",0.655807115152277,0.40807254903248147
N1,"(1800.0, 2400.0]",0.6219702849330863,0.3925554981989188
N1,"(2400.0, 3000.0]",0.7046831565465392,0.4549593016605836
N1,"(3000.0, 3600.0]",0.6758628167262286,0.40040546776324565
N1,"(3600.0, 4200.0]",0.6348461091015292,0.46612058898952813
N1,"(4200.0, 4800.0]",0.6747837900856577,0.473506752353294
N1,"(4800.0, 5400.0]",0.6783582125330333,0.42216391072243087
N1,"(5400.0, 6000.0]",0.6719214201022444,0.4687660583579227
N1,"(6000.0, 6600.0]",0.6738774856492117,0.45386108503444395
N1,"(6600.0, 7200.0]",0.6587890349148761,0.45288691636138595
N1,"(7200.0, 7800.0]",0.6904782831743351,0.44062787986610724
N1,"(7800.0, 8400.0]",0.7278360066613935,0.4725889272403894
N1,"(8400.0, 9000.0]",0.8017742601745277,0.5406322805403273
N1,"(9000.0, 9600.0]",0.765599842259217,0.536465709135046
N1,"(9600.0, 10200.0]",0.649932912761915,0.4263874157812378
N1,"(10200.0, 10800.0]",0.722679255814425,0.5190180582088211
N1,"(10800.0, 11400.0]",0.7115337755468119,0.48781938736979535
N1,"(11400.0, 12000.0]",0.7162597539821819,0.4715731513304951
N1,"(12000.0, 12600.0]",0.6809157643262654,0.44249138671385757
N1,"(12600.0, 13200.0]",0.6543201445177783,0.4742224525440483
N1,"(13200.0, 13800.0]",0.665606688258669,0.4834391732073484
N1,"(13800.0, 14400.0]",0.7101293043922182,0.48565077740473017
N1,"(14400.0, 15000.0]",0.7309211401484981,0.510394341885195
N1,"(15000.0, 15600.0]",0.6667336479433413,0.4092377022220077
N1,"(15600.0, 16200.0]",0.6806935495120691,0.4333005510620062
N1,"(16200.0, 16800.0]",0.6914104518054944,0.4099786816878946
N1,"(16800.0, 17400.0]",0.7207168127754869,0.46094956480022753
N1,"(17400.0, 18000.0]",0.6848275367879401,0.4229446449183685
N1,"(18000.0, 18600.0]",0.7364489802986189,0.5151657088513247
N1,"(18600.0, 19200.0]",0.6954654373579271,0.4569351474582208
N1,"(19200.0, 19800.0]",0.7241841353992856,0.5005078841895043
N1,"(19800.0, 20400.0]",0.6821432351024849,0.4340488550133296
N1,"(20400.0, 21000.0]",0.730278370355263,0.5191356267905727
N1,"(21000.0, 21600.0]",0.7101400085343278,0.5005300849875404
N1,"(21600.0, 22200.0]",0.7001608745481099,0.49795056802181187
N1,"(22200.0, 22800.0]",0.6719085376216538,0.44775228547783824
N1,"(22800.0, 23400.0]",0.7237985983684344,0.5307364676213564
N1,"(23400.0, 24000.0]",0.7109340926734926,0.5189144902750542
N1,"(24000.0, 24600.0]",0.712401879495569,0.4987281306459841
N1,"(24600.0, 25200.0]",0.6887341915503454,0.45797713538217333
N1,"(25200.0, 25800.0]",0.6474796235063182,0.4599959570612907
N1,"(25800.0, 26400.0]",0.677742034095441,0.4689981302705565
N1,"(26400.0, 27000.0]",0.6868280078135448,0.4922313439114067
N1,"(27000.0, 27600.0]",0.7582970174341849,0.5248251481002421
N1,"(27600.0, 28200.0]",0.6730124860946455,0.4616178103246612
N1,"(28200.0, 28800.0]",0.665641047829842,0.47936658612624067
N1,"(28800.0, 29400.0]",0.7259799601526566,0.5662682816908009
N1,"(29400.0, 30000.0]",0.6719139423957189,0.47438430603842296
N1,"(30000.0, 30600.0]",0.6579714259466571,0.44466900498767115
N1,"(30600.0, 31200.0]",0.5867879095357805,0.38221697679015365
